sign,filename
0,200d8766-4240-44d1-a2da-65dc4ee7973a
0,87174854-b7b6-4cb2-8183-4ca2bbd26b9d
0,c089638e-b683-436a-a3a3-3e5be972c4f6
1,8790e76c-f485-49a6-abaf-3147436ca085
0,c06b01db-8934-4c72-b568-508a32c4b170
1,56a03a71-b4c6-406c-b987-b4c55c0dff8c
0,b68d8d48-3753-49f9-9801-340d9bcbf7f0
0,e0eb3d64-2a4e-4a39-a175-91425a21279c
0,381b6344-c4ff-48e5-aca7-5458015c42fc
0,4d1c69cc-731d-474f-840d-8a3f0286edb9
0,57cdd70d-28af-4066-b190-e31c5ad0ba49
0,993ef5d8-ec52-4f67-8f4b-18ebc2be01f0
0,6914aba0-de1e-4a39-a8c9-fa6155c349c5
0,062c9e8f-079a-4952-b43b-2196c3395713
0,b8660f18-da09-4027-b898-f1ed7f57e293
0,d230a275-f505-4388-a86f-1cec44eabad8
0,ccc46a0a-eaba-4845-85f1-2ed467b8e065
0,f6629db3-d1ce-4c4b-824d-91458790b13b
0,2ec930e7-b396-4f22-9254-326ec697ab82
0,7f92869c-b6dd-4caf-abbd-bba58536a607
0,0874b8b7-0e4e-4038-933f-5cf391701601
0,2cec1835-cc89-4ed9-8d07-b12c37e493c3
0,7f86b872-4bc9-4b02-ab65-3d3c549304cb
0,42a1ec11-1413-4f66-941d-72613dbfb201
0,e2b18c4d-8d20-4562-9981-b7790d9a3097
0,43d81dbc-3ed1-474a-9812-6392e642deb9
0,4b007001-10b0-4c2c-be6c-ee9e7ffd00f2
0,e6939109-6b88-4397-adab-1e4f22899a82
0,13973623-8c58-48bb-a315-4992913a959b
0,824df74e-68eb-4d1b-971d-6722e64c3ff3
1,c5ff626f-e486-4245-a883-b00c9b672ce0
0,ab3cfb03-bf75-4be4-babc-7fc8cd70f927
0,52222a41-eea8-4fc0-8c2b-8283537a43c8
0,100851b4-fda0-4f7a-9791-8ebfd0d2c820
1,b7afbfbf-0b76-4e61-8aad-b2474821331e
0,763bc027-71e6-4a4c-91ee-5ae0dda51b7f
0,9c1a2a1a-bcbf-4a0c-93b2-fc64bd38c1cc
0,2495d6d2-d225-44bd-9d40-b66aaaea69fa
0,e6c07811-0822-43e1-9699-7b824700beb8
0,73af2074-bf03-47f9-9306-b10abeea5c49
0,6804e7a7-b9e6-4693-88de-eb07497685a3
0,69034036-a08c-4cc8-b58c-b4f4960719fc
0,9593daec-ad66-4bff-b458-a0e024399575
0,59f78843-e023-4f63-975d-91c1be1483dc
0,420867b9-d0f1-4e59-9c6d-488353e82a47
1,303f36d3-8d7d-48e9-acc3-1f2634052581
0,a14acb29-d961-4d7a-ba47-d030116e12b8
0,0d5c01bb-dca7-43cf-99ff-c5d4817c5112
0,a0d2c88e-e470-4c97-b91e-01e2a612125b
0,178ed005-5bfb-48a9-a4d2-6f0723fac63c
0,dad593f2-9e9e-4e0e-a967-63eed6ef1cbe
0,ce8766e5-4c2e-49da-92a2-f68788d1874b
0,4a7c1324-4ece-481e-a6da-e9da78efd2c4
0,98f76998-e77a-40f3-8634-5bfe5249a404
0,416834d9-33fb-4920-8408-08f418eb21ec
1,6c98a412-e742-4fdf-83b6-345299e3a2b7
0,7ec4f4b6-f65b-4084-b025-6dad4570a15f
0,4193790b-4e50-47df-bc92-668639f2615d
0,2aaa0f7f-25eb-4f44-a405-487805c515e6
0,c1b14ab7-19f4-4ce3-ae00-f629bd42b95c
1,11284f06-4a86-48e9-9e0a-c734d92e7ac2
1,c463f0b3-2a03-49bf-b30d-9a05ea746d96
0,9047714d-7604-4055-b7e5-e08015eec248
0,c4ddf9b9-4b92-45dd-adfa-978105856d23
